,memo_id,task_id,memo_type_id,proj_id,task_memo
0,10577,82454,68,1296,Increase
1,10578,82501,68,1296,G1
2,10579,82502,68,1296,G1
3,10580,82503,68,1296,G1
4,10581,82538,68,1296,Team 1
5,10582,82539,68,1296,Team 2
6,10583,82540,68,1296,Team 2
7,10756,83011,68,1296,Increase
8,10757,83045,68,1296,G1
9,10758,83046,68,1296,G1
10,10759,83047,68,1296,G1
11,10760,83049,68,1296,G1
12,10761,83050,68,1296,G1
13,10762,83051,68,1296,G1
14,10763,83053,68,1296,G1
15,10764,83054,68,1296,G1
16,10765,83055,68,1296,G1
17,10766,83070,68,1296,G1
18,10767,83071,68,1296,G1
19,10768,83072,68,1296,G1
20,10769,83074,68,1296,G1
21,10770,83075,68,1296,G1
22,10771,83076,68,1296,G1
23,10844,83438,68,1296,G1
24,10845,83439,68,1296,G1
25,10846,83440,68,1296,G1
26,10847,83465,68,1296,G1
27,10848,83466,68,1296,G1
28,10849,83467,68,1296,G1
29,10850,83469,68,1296,G1
30,10851,83470,68,1296,G1
31,10852,83471,68,1296,G1
32,11129,84266,68,1296,G1
33,11130,84267,68,1296,G1
34,11131,84268,68,1296,G1
35,11132,84270,68,1296,G1
36,11133,84271,68,1296,G1
37,11134,84272,68,1296,G1
38,11135,84274,68,1296,G1
39,11136,84275,68,1296,G1
40,11137,84276,68,1296,G1
41,11138,84278,68,1296,G1
42,11139,84279,68,1296,G1
43,11140,84280,68,1296,G1
44,11141,84282,68,1296,G1
45,11142,84283,68,1296,G1
46,11143,84284,68,1296,G1
47,11144,84286,68,1296,G1
48,11145,84287,68,1296,G1
49,11146,84288,68,1296,G1
50,11147,84290,68,1296,G1
51,11148,84291,68,1296,G1
52,11149,84292,68,1296,G1
53,11150,84294,68,1296,G1
54,11151,84295,68,1296,G1
55,11152,84296,68,1296,G1
56,11153,84298,68,1296,G1
57,11154,84299,68,1296,G1
58,11155,84300,68,1296,G1
59,11156,84332,68,1296,G1
60,11157,84333,68,1296,G1
61,11158,84334,68,1296,G1
62,11159,84336,68,1296,G1
63,11160,84337,68,1296,G1
64,11161,84338,68,1296,G1
65,11162,84340,68,1296,G1
66,11163,84341,68,1296,G1
67,11164,84342,68,1296,G1
68,11165,84344,68,1296,G1
69,11166,84345,68,1296,G1
70,11167,84346,68,1296,G1
71,11168,84348,68,1296,G1
72,11169,84349,68,1296,G1
73,11170,84350,68,1296,G1
74,11171,84352,68,1296,G1
75,11172,84353,68,1296,G1
76,11173,84354,68,1296,G1
77,11174,84356,68,1296,G1
78,11175,84357,68,1296,G1
79,11176,84358,68,1296,G1
80,11177,84360,68,1296,G1
81,11178,84361,68,1296,G1
82,11179,84362,68,1296,G1
83,11180,84364,68,1296,G1
84,11181,84365,68,1296,G1
85,11182,84366,68,1296,G1
