,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,66,128376,3714,,0,,
1,66,128377,3714,,0,,
2,66,128378,3714,,0,,
3,66,128379,3714,,0,,
4,66,128380,3714,,0,,
5,66,128381,3714,,0,,
6,66,128382,3714,,0,,
7,66,128383,3714,,0,,
8,66,128384,3714,,0,,
9,66,128385,3714,,0,,
10,66,128387,3714,,0,,
11,66,128388,3714,,0,,
12,66,128389,3714,,0,,
13,66,128390,3714,,0,,
14,66,128391,3714,,0,,
15,66,128392,3714,,0,,
16,66,128395,3714,,0,,
17,66,128396,3714,,0,,
18,66,128397,3714,,0,,
19,66,128398,3714,,0,,
20,66,128399,3714,,0,,
21,66,128400,3714,,0,,
22,66,128401,3714,,0,,
23,66,128402,3714,,0,,
24,66,128403,3714,,0,,
25,66,128404,3714,,0,,
26,66,128405,3714,,0,,
27,66,128406,3714,,0,,
28,66,128407,3714,,0,,
29,66,128408,3714,,0,,
30,66,128409,3714,,0,,
31,66,128410,3714,,0,,
32,66,128411,3714,,0,,
33,66,128412,3714,,0,,
34,66,128413,3714,,0,,
35,66,128414,3714,,0,,
36,66,128415,3714,,0,,
37,66,128416,3714,,0,,
38,66,128423,3714,,0,,
39,66,128424,3714,,0,,
40,66,128425,3714,,0,,
41,66,128426,3714,,0,,
42,66,128427,3714,,0,,
43,66,128428,3714,,0,,
44,66,128429,3714,,0,,
45,66,128430,3714,,0,,
46,66,128431,3714,,0,,
47,66,128432,3714,,0,,
48,66,128433,3714,,0,,
49,66,128434,3714,,0,,
50,66,128718,3714,,0,,
51,66,128719,3714,,0,,
52,66,128720,3714,,0,,
53,66,128721,3714,,0,,
54,66,128722,3714,,0,,
55,66,128723,3714,,0,,
56,66,128724,3714,,0,,
57,66,128725,3714,,0,,
58,66,128726,3714,,0,,
59,66,128727,3714,,0,,
60,66,128728,3714,,0,,
61,66,128729,3714,,0,,
62,75,128376,3714,,,3216,
63,75,128377,3714,,,42,
64,75,128378,3714,,,42,
65,75,128379,3714,,,73,
66,75,128380,3714,,,78,
67,75,128381,3714,,,678,
68,75,128382,3714,,,36,
69,75,128383,3714,,,7878,
70,75,128384,3714,,,621,
71,75,128385,3714,,,86,
72,75,128388,3714,,,786,
73,75,128389,3714,,,27,
74,75,128390,3714,,,862,
75,75,128391,3714,,,786,
76,75,128392,3714,,,2,
77,75,128395,3714,,,86,
78,75,128396,3714,,,2786,
79,75,128397,3714,,,1,
80,75,128398,3714,,,76,
81,75,128399,3714,,,27,
82,75,128400,3714,,,62,
83,75,128401,3714,,,786,
84,75,128402,3714,,,27,
85,75,128403,3714,,,8627,
86,75,128404,3714,,,86,
87,75,128405,3714,,,2786,
88,75,128406,3714,,,2,
89,75,128407,3714,,,76,
90,75,128408,3714,,,2786,
91,75,128409,3714,,,2,
92,75,128410,3714,,,786,
93,75,128411,3714,,,27,
94,75,128412,3714,,,862,
95,75,128413,3714,,,78,
96,75,128414,3714,,,62,
97,75,128415,3714,,,7862,
98,75,128416,3714,,,78,
99,75,128423,3714,,,62,
100,75,128424,3714,,,79,
101,75,128425,3714,,,2,
102,75,128426,3714,,,8792,
103,75,128427,3714,,,78,
104,75,128428,3714,,,92,
105,75,128429,3714,,,78,
106,75,128430,3714,,,278,
107,75,128432,3714,,,8,
108,75,128433,3714,,,987,
109,75,128434,3714,,,23,
110,75,128718,3714,,,78,
111,75,128719,3714,,,7,
112,75,128720,3714,,,823,
113,75,128721,3714,,,789,
114,75,128722,3714,,,378,
115,75,128723,3714,,,9,
116,75,128724,3714,,,789,
117,75,128725,3714,,,78,
118,75,128726,3714,,,97,
119,75,128727,3714,,,89,
120,75,128728,3714,,,78,
121,75,128729,3714,,,9237,"
%E"
