,wbs_budg_id,proj_id,wbs_id,start_date,spend_cost,benefit_cost
0,2898,809,10371,2008-01-01 00:00,0.00,0.00
1,2899,809,10371,2010-01-01 00:00,19700000.00,0.00
2,2900,809,10371,2010-02-01 00:00,30200000.00,0.00
3,2901,809,10371,2010-03-01 00:00,31000000.00,0.00
4,2902,809,10371,2010-04-01 00:00,35500000.00,0.00
5,2903,809,10371,2010-05-01 00:00,38500000.00,0.00
6,2904,809,10371,2010-06-01 00:00,37500000.00,0.00
7,2905,809,10371,2010-07-01 00:00,41500000.00,0.00
8,2906,809,10371,2010-08-01 00:00,30000000.00,0.00
9,2907,809,10371,2010-09-01 00:00,30000000.00,0.00
10,2908,809,10371,2010-10-01 00:00,21000000.00,0.00
11,2909,809,10371,2010-11-01 00:00,21000000.00,0.00
12,2910,809,10371,2010-12-01 00:00,16500000.00,0.00
