,pobs_id,pobs_parent_id,seq_num,pobs_name,pobs_descr,pobs_manager
0,100,,0,POBS_Root,Performing Organization_Root,
1,101,100,0,P,Performing Organization,
2,102,100,100,P-1,Performing Organization,
3,103,100,200,P-2,Performing Organization,
4,104,100,300,P-3,Performing Organization,
5,105,100,400,P-4,Performing Organization,
6,106,100,500,P-5,Performing Organization,
7,107,100,600,P-6,Performing Organization,
8,108,100,0,"?><,./;'[]\=-`","?><,./;'[]\=-`","?><,./;'[]\=-`"
9,159,100,0,"?&gt;&lt;,./;'[]\=-`","?&gt;&lt;,./;'[]\=-`","?&gt;&lt;,./;'[]\=-`"
10,160,100,0,"?&amp;gt;&amp;lt;,./;'[]\=-`","?&amp;gt;&amp;lt;,./;'[]\=-`","?&amp;gt;&amp;lt;,./;'[]\=-`"
11,161,100,0,P-7,Performing Organization,
12,162,100,0,P-8,Performing Organization,
13,163,100,0,?><../;'[]\=-`,?><../;'[]\=-`,?><../;'[]\=-`
14,164,100,0,?&gt;&lt;../;'[]\=-`,?&gt;&lt;../;'[]\=-`,?&gt;&lt;../;'[]\=-`
15,165,100,0,P101,P101 xXxXxXxXxXxXxXxXxX,
16,166,100,100,P102,P102 xXxXxXxXxXxXxXxXxX,
17,167,100,200,P103,P103 xXxXxXxXxXxXxXxXxX,
18,168,100,300,P104,P104 xXxXxXxXxXxXxXxXxX,
19,169,100,400,P105,P105 xXxXxXxXxXxXxXxXxX,
20,170,100,500,P106,P106 xXxXxXxXxXxXxXxXxX,
21,171,100,600,P107,P107 xXxXxXxXxXxXxXxXxX,
22,172,100,0,P108 xXxXxXxXx,P108 xXxXxXxXx,P108 xXxXxXxXx
23,173,100,0,"?><,./;'[]\=-`?><,./;'[]\=-`","?><,./;'[]\=-`",
24,174,100,0,?><,./;'[]\=-`,?><
25,175,100,0,?&gt;&lt;,./;'[]\=-`,?&gt;&lt;
26,226,100,2,1.1,1.1,admin
27,227,100,2,裿1.1,.1,admin
28,228,100,2,Êàòåãîðèÿ1.1,Ê1.1,admin
29,229,100,2,Êàòåãîðè£¿1.1,£¿.1,admin
30,230,100,2,AH1.1,1.1,admin
31,231,100,2,A裿1.1,.1,admin
32,232,100,2,ÊÁHòåãîðèÿ1.1,ÁH.1,admin
33,233,100,2,ÊÁHòåãîðè£¿1.1,£¿.1,admin
34,234,100,2,ÿàòåãîðèÿ1.1,ÿ1.1,admin
35,235,100,2,ÿàòåãîðè£¿1.1,£¿.1,admin
36,236,100,2,ÿÁHòåãîðèÿ1.1,ÿ1.1,admin
37,237,100,2,ÿÁHòåãîðè£¿1.1,£¿.1,admin
38,238,100,2,ÃÃ Ã²Ã¥Ã£Ã®Ã°Ã¨Ã¿1.1,Ã1.1,admin
39,239,100,2,ÃÃ Ã²Ã¥Ã£Ã®Ã°Ã¨Â£Â¿1.1,Â£Â¿.1,admin
40,240,100,2,1.1,1.1,admin
41,241,100,2,1.1,.1,admin
42,242,100,2,AH1.1,1.1,admin
43,243,100,2,A1.1,.1,admin
44,244,100,2,1.1,1.1,admin
45,245,100,2,1.1,.1,admin
46,246,100,2,H1.1,H.1,admin
47,247,100,2,H1.1,.1,admin
48,248,100,2,Eao??i?ey1.1,E1.1,admin
49,249,100,2,Eao??i?e#?1.1,#?.1,admin
50,250,100,2,Eao??uA?H1.1,E1.1,admin
51,251,100,2,Eao??uAe#?1.1,#?.1,admin
52,252,100,2,??? ???Y?#????????1.1,??1.1,admin
53,253,100,2,??? ???Y?#??????A#A?1.1,A#A?.1,admin
54,254,100,2,????H???Y?#????????1.1,??H.1,admin
55,255,100,2,????H???Y?#??????A#A?1.1,A#A?.1,admin
56,256,100,2,?????????1.1,?1.1,admin
57,257,100,2,??????????1.1,??.1,admin
