,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,863,160570,8788,,0,,
1,863,160576,8788,,0,,
2,863,160621,8788,,0,,
3,863,160622,8788,,0,,
4,863,160649,8788,,0,,
5,863,160680,8788,,0,,
6,863,160681,8788,,0,,
7,863,160717,8788,,0,,
8,863,160747,8788,,0,,
9,863,160748,8788,,0,,
10,863,160784,8788,,0,,
11,863,160814,8788,,0,,
12,863,160815,8788,,0,,
13,863,160851,8788,,0,,
14,863,160871,8788,,0,,
15,863,160895,8788,,0,,
16,863,160915,8788,,0,,
17,863,160916,8788,,0,,
18,863,160939,8788,,0,,
19,863,160940,8788,,0,,
20,863,160969,8788,,0,,
21,863,160981,8788,,0,,
22,863,160992,8788,,0,,
23,863,160993,8788,,0,,
24,863,161047,8788,,0,,
25,863,161065,8788,,0,,
26,863,161067,8788,,0,,
27,863,161089,8788,,0,,
28,863,161091,8788,,0,,
29,863,161124,8788,,0,,
30,863,161125,8788,,0,,
31,863,161153,8788,,0,,
32,863,161183,8788,,0,,
33,863,161184,8788,,0,,
34,863,161221,8788,,0,,
35,863,161233,8788,,0,,
36,863,161237,8788,,0,,
37,863,161244,8788,,0,,
38,863,161245,8788,,0,,
39,863,161303,8788,,0,,
40,863,161304,8788,,0,,
41,863,161341,8788,,0,,
42,863,161351,8788,,0,,
43,863,161364,8788,,0,,
44,863,161365,8788,,0,,
45,863,161402,8788,,0,,
46,863,161403,8788,,0,,
47,863,161430,8788,,0,,
48,863,161461,8788,,0,,
49,863,161462,8788,,0,,
50,863,161498,8788,,0,,
51,863,161528,8788,,0,,
52,863,161529,8788,,0,,
53,863,161565,8788,,0,,
54,863,161591,8788,,0,,
55,863,161616,8788,,0,,
56,863,161617,8788,,0,,
57,863,161649,8788,,0,,
58,863,161750,8788,,0,,
59,863,161773,8788,,0,,
60,863,161777,8788,,0,,
61,863,161799,8788,,0,,
62,863,161800,8788,,0,,
63,863,161835,8788,,0,,
64,863,161836,8788,,0,,
65,863,161847,8788,,0,,
66,863,161848,8788,,0,,
67,863,161849,8788,,0,,
68,863,161871,8788,,0,,
69,863,161873,8788,,0,,
70,863,161896,8788,,0,,
71,863,161898,8788,,0,,
72,863,161905,8788,,0,,
73,863,161926,8788,,0,,
74,863,161933,8788,,0,,
75,863,161934,8788,,0,,
76,863,161974,8788,,0,,
77,863,161975,8788,,0,,
78,863,162041,8788,,0,,
79,863,162042,8788,,0,,
80,863,162105,8788,,0,,
81,863,162106,8788,,0,,
82,863,162186,8788,,0,,
83,863,162190,8788,,0,,
84,863,162199,8788,,0,,
85,863,162200,8788,,0,,
86,863,162254,8788,,0,,
87,863,162258,8788,,0,,
88,863,162259,8788,,0,,
89,863,162290,8788,,0,,
90,863,162313,8788,,0,,
91,863,162317,8788,,0,,
92,863,162318,8788,,0,,
93,863,162326,8788,,0,,
94,863,162345,8788,,0,,
95,863,162351,8788,,0,,
96,863,162361,8788,,0,,
97,863,162383,8788,,0,,
98,863,162384,8788,,0,,
99,863,162390,8788,,0,,
